# Shell :: Table

Short   | Name                          | Latest   | Released   | Homepage
--------|-------------------------------|----------|------------|-----------------------------
bash    | Bourne-again shell            | bash5.0  |            |
cmd     | Windows command intepreter    |          |            | 
csh     | C shell                       |          | 2011-05-02 |
fish    | Friendly interactive shell    |          |            |
ksh     | KornShell                     | ksh93u+  | 2012-08-01 |
mksh    | MirBSD Korn Shell             | mkshR59c | 2020-10-31 | http://www.mirbsd.org/mksh.htm
oksh    | Portable OpenBSD ksh          |          |            | 
pdksh   | Public domain Korn shell      |          |            |
pwsh    | Powershell                    |          |            | 
rc      | Plan 9 shell                  |          |            |
tcsh    | Thomson shell                 |          |            | 
tclsh   | TCL shell                     |          |            | 
sh      | Bourne shell                  |          |            |
zsh     | Z shell                       | zsh5.8   |            |
ion     | Modern, written in Rust       |          |            | 
nushell | Modern, written in Rust       |          |            | 
elvish  | anonymous fns, DS             |          |            | 
es      | Extensible shell based on rc  |          |            | 
osh     | Bash compatible, Modern       |          |            | 
shell++ | Functional and OO             |          |            |  
xonsh   | Python-ish, bash-like shell   |          |            | 
yash    | POSIX, predictions            |          |            | 
        |                               |          |            | 
        |                               |          |            | 
        |                               |          |            | 
        |                               |          |            | 
